STORE,STREET,CITY,ZIP
ONE STOP CONVENIENCE     ,04770 OCEANSIDE BLVD     ,OCEANSIDE      ,92054
VISTA WINE & SPIRITS     ,00755 SHADOWRIDGE        ,VISTA          ,92083
OSCAR'S MARKET           ,04210 MARKET             ,SAN DIEGO      ,92102
PONDEROSA DELI MARKET    ,01897 NATIONAL AVE       ,SAN DIEGO      ,92113
RAMONA LISA BEER & WINE  ,01140 MAIN STREET #109-12,RAMONA         ,92065
ROLANDO'S                ,01033 ELKELTON BLVD      ,SPRING VALLEY  ,92077
7-ELEVEN 2111 #18977     ,00578 E MISSION RD       ,SAN MARCOS     ,92069
7-ELEVEN 2111 #21785     ,00260 E MISSION RD       ,ESCONDIDO      ,92025
7-ELEVEN #2111 #33970    ,00405 N TWIN OAKS VALLEY ,SAN MARCOS     ,92069
CLOVERLEAF MARKET        ,03070 REYNARD WAY        ,SAN DIEGO      ,92103
7-ELEVEN 2131 #21794     ,06991 EL CAJON BLVD      ,SAN DIEGO      ,92115
7-ELEVEN 2111 #13661     ,09251 CARLTON HILLS BLVD ,SANTEE         ,92071
EBK PETROLEUM            ,05345 KEARNY VILLA       ,SAN DIEGO      ,92123
SHELL FOOD MART          ,00145 EMERALD            ,VISTA          ,92083
SUMMERS MARKET           ,04602 PARK BLVD          ,SAN DIEGO      ,92116
LAKE MORENA MARKET       ,29801 OAK DR             ,CAMPO          ,92006
VALERO                   ,01210 MAIN ST            ,RAMONA         ,92065
TEXAS LIQUOR             ,00945 CARLSBAD VLG DR    ,CARLSBAD       ,92008
VP 09576                 ,04202 CLAIREMONT MESA BVD,SAN DIEGO      ,92117
SUNSHINE MARKET          ,09108 CAMPO RD           ,SPRING VALLEY  ,92077
VALLEY MARKET            ,01356 W VALLEY PKWY # A19,ESCONDIDO      ,92029
LIQUOR PLUS              ,01629 S COAST HWY        ,OCEANSIDE      ,92054
BAYHO LIQUOR & DELI      ,04031 AVATI DR           ,SAN DIEGO      ,92117
SKY LIQUOR               ,03607 COLLEGE AVE        ,SAN DIEGO      ,92115
BOTTLE BIN LIQUOR        ,00810 E VISTA WAY        ,VISTA          ,92084
CALIFORNIA SUPER GAS     ,00510 W 5TH AVE          ,ESCONDIDO      ,92025
CHIP'S LIQUOR STORE      ,01924 GARNET AVE         ,SAN DIEGO      ,92109
KEARNEY MESA MARKET      ,07631 LINDA VISTA        ,SAN DIEGO      ,92111
LOS COCHES VALERO        ,08575 LOS COCHES RD      ,EL CAJON       ,92021
RAMCO PETROLEUM          ,30351 HWY 78             ,SANTA YSABEL   ,92070
EL NORTE LIQUOR          ,01284 N ESCONDIDO BLVD   ,ESCONDIDO      ,92019
FIVE STARS MARKET        ,00553 W 9TH AVE          ,ESCONDIDO      ,92025
5 STAR DISCOUNT MKT & LIQ,00650 DOUGLAS DR STE 113 ,OCEANSIDE      ,92057
FOOD FARMS MARKET        ,13307 HWY 8              ,EL CAJON       ,92021
GEORGIA'S LIQUOR         ,00849 S ESCONDIDO BLVD   ,ESCONDIDO      ,92025
GROVE LIQUOR             ,07245 BROADWAY           ,LEMON GROVE    ,92045
HARBOR LIQUOR            ,00707 N COAST HWY        ,OCEANSIDE      ,92054
HOLIDAY WINE CELLAR      ,00302 W MISSION AVE      ,ESCONDIDO      ,92025
MISSION VALLEY RESORT    ,00875 S HOTEL CIRCLE     ,SAN DIEGO      ,92108
IDAHO MARKET             ,02810 EL CAJON BLVD STE A,SAN DIEGO      ,92104
JIMBOS'S LIQUOR STORE    ,04411 GENESEE AVE        ,SAN DIEGO      ,92117
K & L MARKET             ,01413 MORENA BLVD        ,SAN DIEGO      ,92110
KAELIN'S IGA             ,01435 E MAIN ST          ,EL CAJON       ,92021
LAKES MARKET & DELI      ,09292 CARLTON HILLS BLVD ,SANTEE         ,92071
LENA'S LIQUOR            ,01141 E WASHINGTON       ,ESCONDIDO      ,92025
LEUCADIA LIQUOR          ,00640 N HWY 101          ,LEUCADIA       ,92024
LIQUOR LOCKER            ,02521 MORENA BLVD        ,SAN DIEGO      ,92110
MAR VISTA LIQUOR         ,02117 SAN ELIJO AVE      ,CARDIFF        ,92007
MI PUEBLO SUPER MERCADO  ,01516 E VALLEY PKWY      ,ESCONDIDO      ,92027
QWIK KORNER DELI & GROC. ,00731 S HWY 101          ,SOLANA BEACH   ,92075
THE WELLDECK             ,14168 POWAY RD STE 101   ,POWAY          ,92064
MOUNTAIN SPIRITS LIQUOR  ,02120 MAIN ST            ,JULIAN         ,92036
TWIN'S MARKET            ,03602 MEADE              ,SAN DIEGO      ,92116
NEWPORT FARMS            ,05004 NEWPORT AVE        ,SAN DIEGO      ,92107
ONE STOP LIQUOR          ,01873 S ESCONDIDO BLVD   ,ESCONDIDO      ,92025
PACIFIC LIQUOR HOUSE     ,02931 EL CAJON BLVD      ,SAN DIEGO      ,92104
PAR GROCERY LIQUOR       ,05199 CLAIREMONT MESA    ,SAN DIEGO      ,92117
PRICE MISSION LIQUOR     ,00205 W MISSION AVE STE A,ESCONDIDO      ,92025
PARKWAY MARKET           ,09085 DALLAS             ,LA MESA        ,92041
QUICKIE FOOD STORE       ,00233 N EL CAMINO REAL   ,ENCINITAS      ,92024
R&J LIQUOR               ,04384 MORAGA AVE         ,SAN DIEGO      ,92117
SANTA FE LIQUOR          ,00590 SANTA FE DR        ,ENCINITAS      ,92024
SEA TRADER LIQUOR        ,01403 EBERS STREET       ,SAN DIEGO      ,92107
7-ELEVEN 2131 #21798     ,01498 JAMACHA RD STE 101 ,EL CAJON       ,92109
7-ELEVEN 2111 #33376     ,01610 MELROSE            ,VISTA          ,92083
7-ELEVEN 2111 #15046     ,04091 GENESEE AVE        ,SAN DIEGO      ,92117
7-ELEVEN 2111 #32326     ,03251 BUSINESS PARK DR   ,VISTA          ,92083
COST MART                ,03347 EL CAJON BLVD      ,SAN DIEGO      ,92104
7-ELEVEN 2111 #18824     ,04205 VOLTAIRE           ,SAN DIEGO      ,92107
SUPER MERCADO MURPHYS    ,04580 UNIVERSITY AVE     ,SAN DIEGO      ,92105
VILLAGE BONSALL MARKET   ,05527 MISSION RD         ,BONSALL        ,92003
SQUARE DEAL MKT          ,00301 20TH ST            ,SAN DIEGO      ,92102
STAGE STOP & LIQUOR      ,17128 HWY 76 STE 2       ,PAUMA VALLEY   ,92061
STUMPS MARKET #3         ,03770 VOLTAIRE           ,SAN DIEGO      ,92107
ARCO #9578               ,09600 MURRAY DR          ,LA MESA        ,92041
MERCADO INT'L 2000       ,01415 3RD AVE            ,CHULA VISTA    ,91911
APPLE TREE MARKET        ,04949 SANTA MONICA BLVD  ,SAN DIEGO      ,92107
FIESTA LIQUOR            ,02700 STATE ST STE A     ,CARLSBAD       ,92008
MAGIC MARKET             ,04825 CASS ST            ,SAN DIEGO      ,92109
PALOMAR MOBIL            ,00899 PALOMAR AIRPORT RD ,CARLSBAD       ,92009
QWIK KORNER #88          ,03850 UNIVERSITY         ,SAN DIEGO      ,92105
RED & WHITE MARKET       ,00510 VISTA WAY          ,OCEANSIDE      ,92054
WELLDECK                 ,03773 AVOCADO BLVD       ,LA MESA        ,92041
KENNEDYS KARNE #2        ,01760 E. VALLEY PKWY     ,ESCONDIDO      ,92027
EMERALD OIL              ,05600 BALTIMORE DR       ,LA MESA        ,91942
FARMERS MARKET #2        ,02045 UNIVERSITY         ,SAN DIEGO      ,92104
LA BOTA LIQUOR           ,01370 E VISTA WAY        ,VISTA          ,92083
LAKE MURRAY SHELL        ,05302 LAKE MURRAY BLVD   ,LA MESA        ,91942
THUNDER MARKET           ,02810 THUNDER DR STE D-J ,OCEANSIDE      ,92056
SUNSHINE LIQUOR & MINI   ,02229 EL CAMINO REAL     ,OCEANSIDE      ,92054
ANCHOR LIQUOR            ,03083 1/2 CLAIREMONT DR  ,SAN DIEGO      ,92117
ARCO AM/PM #1014         ,09065 CAMPO RD           ,SPRING VALLEY  ,91977
SHELL                    ,03535 INDIA ST           ,SAN DIEGO      ,92103
FAIRBANKS RANCHO MOBIL   ,16095 SAN DIEGUITO RD    ,RANCHO SANTA FE,92091
IBIS FOOD MART           ,01112 FORT STOCKTON DR   ,SAN DIEGO      ,92103
RUIZ MARKET              ,00200 W EL NORTE PKWY STE,ESCONDIDO      ,92026
MOUNTAIN MARKET          ,08940 OLD HWY 80         ,PINE VALLEY    ,91962
MURPHY CANYON MARKET     ,05250 MURPHY CANYON STE12,SAN DIEGO      ,92123
NORTH PARK MARKET        ,03233 MYRTLE AVE         ,SAN DIEGO      ,92104
STARLIGHT MARKET         ,07020 EL CAJON BLVD      ,SAN DIEGO      ,92115
THE OCEANSIDER           ,01660 OCEANSIDE BLVD     ,OCEANSIDE      ,92054
ALL SEASONS MARKET & DELI,30012 HWY 395            ,ESCONDIDO      ,92026
CINE CAFE AT THE GASLAMP ,004123 & 420 K ST        ,SAN DIEGO      ,92101
CARMEL VALLEY MARKET     ,02302 CARMEL VALLEY RD   ,DEL MAR        ,92014
FARR BETTER SPIRITS #2   ,00332 N HWY 101          ,ENCINITAS      ,92024
CORNER FOOD & LIQUOR     ,00320 N MIDWAY           ,ESCONDIDO      ,92025
CORNER LIQUOR STORE      ,01660 CAPALINA RD        ,SAN MARCOS     ,92069
DALE'S LIQUOR            ,00107 N BROOKS           ,OCEANSIDE      ,92054
FOUR SEASONS MKT         ,05050 EL CAJON BLVD      ,SAN DIEGO      ,92115
GEORGE'S MARKET          ,02540 E 18TH ST          ,NATIONAL CITY  ,92050
HARNESS MARKET           ,09095 HARNESS ST         ,SPRING VALLEY  ,91977
HORTENSIA MKT & DELI     ,02244 SAN DIEGO          ,SAN DIEGO      ,92110
IMPERIAL LIQUOR          ,03106 E 16TH ST          ,NATIONAL CITY  ,91950
JIMMY'S CORNER MKT       ,04799 VOLTAIRE           ,SAN DIEGO      ,92107
JUNIOR MARKET            ,04935 DIANE AVE          ,SAN DIEGO      ,92117
MEADOW'S DELI MARKET     ,10326 MEADOW GLENN WAY   ,ESCONDIDO      ,92026
NESTOR LIQUOR            ,01134 HOLLISTER ST       ,SAN DIEGO      ,92154
PAPPY'S MARKET           ,00601 N CLEVELAND ST     ,OCEANSIDE      ,92054
SPEEDEE MART             ,08011 MISSION GORGE RD #A,SANTEE         ,92071
SMR STARSHINE MARKET     ,04818 GALLATIN WAY       ,SAN DIEGO      ,92117
WORLD FOODS SUPERMARKET  ,05245 EL CAJON BLVD.     ,SAN DIEGO      ,92115
QUICK KORNER MKT & DELI  ,00981 GREENFIELD         ,EL CAJON       ,92021
LA CRESTA MARKET         ,01103 LA CRESTA RD       ,EL CAJON       ,92021
EL CAJON BLVD MKT        ,03504 EL CAJON BLVD      ,SAN DIEGO      ,92104
EXCALIBUR LIQUOR         ,05575 BALTIMORE DR STE 11,LA MESA        ,92041
FARMERS MARKET #3        ,02201 BROADWAY           ,SAN DIEGO      ,92102
GREENFIELD PLAZA         ,01101 GREENFIELD         ,EL CAJON       ,92021
GROVE MARKET             ,07977 BROADWAY           ,LEMON GROVE    ,91945
HELIX LIQUOR             ,00444 W CHASE AVE        ,EL CAJON       ,92020
LAKE JENNINGS ARCO       ,14039 OLD HWY 80         ,EL CAJON       ,92021
MISSION HILLS LIQUOR     ,01630 W LEWIS ST         ,SAN DIEGO      ,92103
K & S LIQUOR             ,00305 N ASH ST           ,ESCONDIDO      ,92027
SIERRA MARKET & LIQUOR   ,03834 MASSACHUSETTS      ,LA MESA        ,92041
SILVERADO LIQUOR         ,14969 POMERADO RD STE A  ,POWAY          ,92064
SKYLINE MARKET           ,01505 SKYLINE            ,LEMON GROVE    ,92045
THRIFTY GAS STATION      ,01525 N MAGNOLIA AVE     ,EL CAJON       ,92020
CROSSROAD PETROLEUM      ,08787 LAKE MURRAY        ,SAN DIEGO      ,92119
PRIMO FOOD MARKET        ,01535 W VISTA WAY        ,VISTA          ,92083
AWASH MARKET & RESTAURANT,02884 EL CAJON BLVD      ,SAN DIEGO      ,92104
BARNICLE EXPRESS         ,00845 E VISTA WAY        ,VISTA          ,92084
VIEN DONG SUPERMARKT     ,05382 UNIVERSITY         ,SAN DIEGO      ,92105
CLEM'S BOTTLE HOUSE      ,04100 ADAMS AVE          ,SAN DIEGO      ,92116
PRICE LIQUOR             ,01650 E VALLEY PKWY      ,ESCONDIDO      ,92027
PRESIDIO MARKET          ,05201 LINDA VISTA # 105  ,SAN DIEGO      ,92110
BONSALL FINE WINE/SPIRITS,05256 S MISSION RD #841  ,BONSALL        ,92003
JULIAS MARKET            ,01731 EUCLID AVE #A      ,SAN DIEGO      ,92105
NEIGHBORSAVOR MARKET     ,02144 AVENIDA DE LA PLAYA,LA JOLLA       ,92037
LOGAN MARKET & LIQ.      ,00270 16TH ST            ,SAN DIEGO      ,92101
7-ELEVEN 2131 #25302     ,00711 JAMACHA RD         ,EL CAJON       ,92019
GO-GO'S LIQUOR & DELI    ,01295 N 2ND ST           ,EL CAJON       ,92021
OLD POWAY MARKET         ,14047 MIDLAND RD         ,POWAY          ,92064
PLAZA WINE & SPIRITS     ,06755 MIRA MESA STE 125  ,SAN DIEGO      ,92121
HARVEST FARM MARKET      ,28960 LILAC RD           ,VALLEY CENTER  ,92082
LA JOLLA SHORES MARKET   ,02259 AVENIDA DE LA PLAYA,LA JOLLA       ,92037
7-ELEVEN #34358          ,13985 TORREY DEL MAR DR  ,SAN DIEGO      ,92130
POTRERO GENERAL STORE    ,25125 HWY 94 STE A       ,POTRERO        ,92063
BALBOA LIQUORS           ,01604 MISSION AVE        ,OCEANSIDE      ,92054
ROYAL PALM SPIRITS       ,00305 CARLSBAD VLG DR    ,CARLSBAD       ,92008
CORTEZ HILL MARKET       ,01301 9TH AVE            ,SAN DIEGO      ,92101
